21ST CENTURY CHARTER SCH OF GARY,Indiana,IN ,1800046,    ,1,1,Marion County,7-Independent Charter District,13-City: Small,Kindergarten,12th Grade,1190,47.01,25.31
21ST CENTURY CYBER CS,Pennsylvania,PA ,4200091,    ,1,1,Chester County,7-Independent Charter District,21-Suburb: Large,6th Grade,12th Grade,1270,64.99,19.54
21ST CENTURY PREPARATORY SCHOOL AGENCY,Wisconsin,WI ,5500045,    ,1,1,Racine County,7-Independent Charter District,13-City: Small,Prekindergarten,8th Grade,551,29.07,18.95
A CENTER FOR CREATIVE EDUCATION (79457),Arizona,AZ ,400328,    ,1,1,Yavapai County,7-Independent Charter District,32-Town: Distant,Kindergarten,8th Grade,67,0,†
A E R O  SPEC EDUC COOP,Illinois,IL ,1700024,    ,7,7,Cook County,9-Specialized public school district,21-Suburb: Large,Prekindergarten,12th Grade,213,69.1,3.08
A W BEATTIE CAREER CENTER,Pennsylvania,PA ,4280010,    ,1,1,Allegheny County,9-Specialized public school district,21-Suburb: Large,9th Grade,12th Grade,0,31,0
A W BROWN LEADERSHIP ACADEMY,Texas,TX ,4800095,    ,2,2,Dallas County,7-Independent Charter District,11-City: Large,Prekindergarten,8th Grade,1725,92.95,18.56
A+ ACADEMY,Texas,TX ,4800203,    ,2,2,Dallas County,7-Independent Charter District,11-City: Large,Prekindergarten,12th Grade,1399,90.23,15.5
A+ ARTS ACADEMY,Ohio,OH ,3900305,    ,1,1,Franklin County,7-Independent Charter District,11-City: Large,Kindergarten,8th Grade,637,28,22.75
A+ CHARTER SCHOOLS (1000166),ARIZONA,AZ ,400998,    ,0,1,Pinal County,7-Independent Charter District,32-Town: Distant,–,–,†,†,†
A+ CHILDREN'S ACADEMY,Ohio,OH ,3901480,    ,1,1,Franklin County,7-Independent Charter District,11-City: Large,Kindergarten,5th Grade,119,9,13.22
A+ UNLIMITED POTENTIAL,TEXAS,TX ,4801453,    ,2,2,Harris County,7-Independent Charter District,11-City: Large,6th Grade,8th Grade,136,4.65,29.25
A-C CENTRAL CUSD 262,Illinois,IL ,1700105,    ,3,3,Cass County,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,Prekindergarten,12th Grade,395,36.2,10.91
A. LINWOOD HOLTON GOV SCH,Virginia,VA ,5100033,    ,1,1,Washington County,9-Specialized public school district,23-Suburb: Small,Ungraded,Ungraded,0,†,–
A.C.E. ACADEMY,North Carolina,NC ,3700372,    ,1,1,Cabarrus County,7-Independent Charter District,22-Suburb: Mid-size,Kindergarten,8th Grade,402,26.52,15.16
A.C.G.C. PUBLIC SCHOOL DISTRICT,Minnesota,MN ,2700106,    ,3,3,Meeker County,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,Prekindergarten,12th Grade,865,61.97,13.96
A.E. PHILLIPS LABORATORY SCHOOL,Louisiana,LA ,2200056,    ,1,1,Lincoln Parish,8-Other education agencies,32-Town: Distant,Kindergarten,8th Grade,410,18,22.78
ABBEVILLE 60,South Carolina,SC ,4500690,    ,9,9,Abbeville County,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,Prekindergarten,12th Grade,2965,228.1,13
ABBOTSFORD SCHOOL DISTRICT,Wisconsin,WI ,5500030,    ,2,2,Clark County,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,Prekindergarten,12th Grade,747,59.83,12.49
ABBOTT ISD,Texas,TX ,4807380,    ,1,2,Hill County,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,Prekindergarten,12th Grade,288,24.25,11.88
ABBOTT UNION FREE SCHOOL DISTRICT,New York,NY ,3602300,    ,0,1,Westchester County,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,–,–,†,†,†
ABBY KELLEY FOSTER CHARTER PUBLIC (DISTRICT),Massachusetts,MA ,2500051,    ,1,1,Worcester County,7-Independent Charter District,12-City: Mid-size,Kindergarten,12th Grade,1425,117.15,12.16
